Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
07/08/2025 20:40,149.57524,7460.39,7618.08942,945.41058,1119.49,ACTUAL
07/08/2025 20:45,160.01,7505.1,7625.2774,941.8026,1076.37,ACTUAL
07/08/2025 20:50,133.98,7423.51,7609.23806,934.27194,1137.43,ACTUAL
07/08/2025 20:55,136.33446,7453.54,7618.24627,945.47373,1127.07,ACTUAL
07/08/2025 21:00,133.98,7372.96,7602.67883,933.00117,1182.51,ACTUAL
07/08/2025 21:05,152.95214,7336.75,7613.24891,932.77109,1231.95,ACTUAL
07/08/2025 21:10,131.73,7331.45,7569.66881,954.78119,1214.82,ACTUAL
07/08/2025 21:15,128.45,7290,7470.60723,981.39277,1182.63,ACTUAL
07/08/2025 21:20,126.66812,7230.64,7431.40254,1001.26746,1225.13,ACTUAL
07/08/2025 21:25,114.73,7135.68,7370.04457,1017.73543,1280.05,ACTUAL
07/08/2025 21:30,128.06017,7143.22,7348.70363,1015.60637,1245.78,ACTUAL
07/08/2025 21:35,117.64791,7062.48,7303.71126,1001.85874,1269.83,ACTUAL
07/08/2025 21:40,108.75,7010.71,7207.11313,1059.59687,1285.02,ACTUAL
07/08/2025 21:45,103.83004,6994.52,7172.58505,1094.18495,1302.66,ACTUAL
07/08/2025 21:50,104.20695,6992.52,7183.80068,1093.22932,1316.3,ACTUAL
07/08/2025 21:55,93.75,6887.42,7016.32079,1091.91921,1248.6,ACTUAL
07/08/2025 22:00,97.83004,6821.75,6927.50488,1080.77512,1211.88,ACTUAL
07/08/2025 22:05,103.83004,6715.49,6874.03151,1074.45849,1264.57,ACTUAL
07/08/2025 22:10,128.45,6783.74,6958.82035,1036.49965,1238.58,ACTUAL
07/08/2025 22:15,128.53002,6777.4,6990.30858,1006.52142,1246.88,ACTUAL
07/08/2025 22:20,128.71,6872.79,7030.11564,1004.67436,1185.86,ACTUAL
07/08/2025 22:25,128.45,6819.78,6967.45154,979.05846,1149.02,ACTUAL
07/08/2025 22:30,114.73,6768.06,6853.50191,950.53809,1054.22,ACTUAL
07/08/2025 22:35,104.59689,6705.45,6664.65483,971.66517,945.13,ACTUAL
07/08/2025 22:40,114.73,6649.88,6680.26333,953.61667,1000.64,ACTUAL
07/08/2025 22:45,110.53,6620.51,6654.17429,965.13571,1016.26,ACTUAL
07/08/2025 22:50,103.83004,6523.67,6562.57948,968.50052,1025.77,ACTUAL
07/08/2025 22:55,100.00543,6430.64,6479.26298,952.62702,1019.82,ACTUAL
07/08/2025 23:00,97.83004,6392.04,6352.31124,974.94876,951.22,ACTUAL
07/08/2025 23:05,97.45,6348.27,6270.62064,991.69936,929.44,ACTUAL
07/08/2025 23:10,128.45,6358.25,6452.67846,933.59154,1048.52,ACTUAL
07/08/2025 23:15,102.73,6374.71,6452.23994,946.91006,1044.74,ACTUAL
07/08/2025 23:20,102.73,6350.71,6443.75391,951.23609,1065.68,ACTUAL
07/08/2025 23:25,97.45,6310.57,6356.53797,957.24203,1022.97,ACTUAL
07/08/2025 23:30,96.45,6232.02,6290.98934,972.48066,1052.94,ACTUAL
